pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.0345,drone,0.0,0.0,365.6,112.1,182.8,56.1
0,0,0.0,0.0345,drone,95.7,0.0,496.9,381.4,296.3,190.7
0,0,0.0,0.0345,drone,277.6,0.0,506.0,291.6,391.8,145.8
0,0,0.0,0.0345,drone,274.5,0.0,506.0,291.6,390.2,145.8
0,0,0.0,0.0345,drone,0.0,0.0,365.6,288.8,182.8,144.4
0,0,0.0,0.0345,drone,0.0,0.0,362.8,288.8,181.4,144.4
0,0,0.0,0.0345,drone,0.0,0.0,506.0,288.8,253.0,144.4
0,0,0.0,0.0345,drone,0.0,0.0,499.7,423.2,249.9,211.6
0,0,0.0,0.0345,drone,5.9,0.0,496.9,425.7,251.4,212.9
0,0,0.0,0.0345,drone,0.0,21.6,410.3,422.9,205.2,222.3
0,0,0.0,0.0345,drone,0.0,21.6,499.7,290.9,249.9,156.3
0,0,0.0,0.0345,drone,98.1,0.0,499.4,333.1,298.8,166.6
0,0,0.0,0.0345,drone,0.0,0.0,497.3,557.3,248.6,278.7
0,0,0.0,0.0345,drone,0.0,24.1,496.9,557.3,248.5,290.7
0,0,0.0,0.0345,drone,140.0,0.0,506.0,335.6,323.0,167.8
0,0,0.0,0.0345,drone,0.0,68.5,455.4,739.0,227.7,403.7
0,0,0.0,0.0345,drone,0.0,65.6,410.3,783.7,205.2,424.7
0,0,0.0,0.0345,drone,0.0,110.3,506.0,738.6,253.0,424.5
0,0,0.0,0.0345,drone,0.0,155.0,273.4,783.3,136.7,469.2
0,0,0.0,0.0345,drone,5.9,333.8,506.0,872.4,256.0,603.1
1,25,1.005,0.0316,drone,0.0,0.0,365.6,112.1,182.8,56.1
1,25,1.005,0.0316,drone,95.7,0.0,496.9,381.4,296.3,190.7
1,25,1.005,0.0316,drone,277.6,0.0,506.0,291.6,391.8,145.8
1,25,1.005,0.0316,drone,274.5,0.0,506.0,291.6,390.2,145.8
1,25,1.005,0.0316,drone,0.0,0.0,365.6,288.8,182.8,144.4
1,25,1.005,0.0316,drone,0.0,0.0,362.8,288.8,181.4,144.4
1,25,1.005,0.0316,drone,0.0,0.0,506.0,288.8,253.0,144.4
1,25,1.005,0.0316,drone,0.0,0.0,499.7,423.2,249.9,211.6
1,25,1.005,0.0316,drone,5.9,0.0,496.9,425.7,251.4,212.9
1,25,1.005,0.0316,drone,0.0,21.6,410.3,422.9,205.2,222.3
1,25,1.005,0.0316,drone,0.0,21.6,499.7,290.9,249.9,156.3
1,25,1.005,0.0316,drone,98.1,0.0,499.4,333.1,298.8,166.6
1,25,1.005,0.0316,drone,0.0,0.0,497.3,557.3,248.6,278.7
1,25,1.005,0.0316,drone,0.0,0.0,496.9,557.3,248.5,278.7
1,25,1.005,0.0316,drone,140.0,0.0,506.0,335.6,323.0,167.8
1,25,1.005,0.0316,drone,0.0,68.5,455.4,739.0,227.7,403.7
1,25,1.005,0.0316,drone,0.0,65.6,410.3,783.7,205.2,424.7
1,25,1.005,0.0316,drone,0.0,110.3,506.0,738.6,253.0,424.5
1,25,1.005,0.0316,drone,0.0,155.0,273.4,735.8,136.7,445.4
1,25,1.005,0.0316,drone,5.9,333.8,506.0,872.4,256.0,603.1
2,50,2.01,0.0316,drone,0.0,0.0,365.6,112.1,182.8,56.1
2,50,2.01,0.0316,drone,95.7,0.0,496.9,381.4,296.3,190.7
2,50,2.01,0.0316,drone,277.6,0.0,506.0,291.6,391.8,145.8
2,50,2.01,0.0316,drone,274.5,0.0,506.0,291.6,390.2,145.8
2,50,2.01,0.0316,drone,0.0,0.0,365.6,288.8,182.8,144.4
2,50,2.01,0.0316,drone,0.0,0.0,362.8,288.8,181.4,144.4
2,50,2.01,0.0316,drone,0.0,0.0,506.0,288.8,253.0,144.4
2,50,2.01,0.0316,drone,0.0,0.0,499.7,423.2,249.9,211.6
2,50,2.01,0.0316,drone,5.9,0.0,496.9,425.7,251.4,212.9
2,50,2.01,0.0316,drone,0.0,21.6,410.3,422.9,205.2,222.3
2,50,2.01,0.0316,drone,0.0,21.6,499.7,290.9,249.9,156.3
2,50,2.01,0.0316,drone,98.1,0.0,499.4,333.1,298.8,166.6
2,50,2.01,0.0316,drone,0.0,0.0,497.3,557.3,248.6,278.7
2,50,2.01,0.0316,drone,0.0,0.0,496.9,557.3,248.5,278.7
2,50,2.01,0.0316,drone,140.0,0.0,506.0,335.6,323.0,167.8
2,50,2.01,0.0316,drone,0.0,68.5,455.4,739.0,227.7,403.7
2,50,2.01,0.0316,drone,0.0,65.6,410.3,783.7,205.2,424.7
2,50,2.01,0.0316,drone,0.0,110.3,506.0,738.6,253.0,424.5
2,50,2.01,0.0316,drone,0.0,155.0,273.4,735.8,136.7,445.4
2,50,2.01,0.0316,drone,5.9,333.8,506.0,872.4,256.0,603.1
3,75,3.015,0.0316,drone,0.0,0.0,365.6,112.1,182.8,56.1
3,75,3.015,0.0316,drone,95.7,0.0,496.9,381.4,296.3,190.7
3,75,3.015,0.0316,drone,277.6,0.0,506.0,291.6,391.8,145.8
3,75,3.015,0.0316,drone,274.5,0.0,506.0,291.6,390.2,145.8
3,75,3.015,0.0316,drone,0.0,0.0,365.6,288.8,182.8,144.4
3,75,3.015,0.0316,drone,0.0,0.0,362.8,288.8,181.4,144.4
3,75,3.015,0.0316,drone,0.0,0.0,506.0,288.8,253.0,144.4
3,75,3.015,0.0316,drone,0.0,0.0,499.7,423.2,249.9,211.6
3,75,3.015,0.0316,drone,5.9,0.0,496.9,425.7,251.4,212.9
3,75,3.015,0.0316,drone,0.0,21.6,410.3,422.9,205.2,222.3
3,75,3.015,0.0316,drone,0.0,21.6,499.7,290.9,249.9,156.3
3,75,3.015,0.0316,drone,98.1,0.0,499.4,333.1,298.8,166.6
3,75,3.015,0.0316,drone,0.0,0.0,497.3,557.3,248.6,278.7
3,75,3.015,0.0316,drone,0.0,0.0,496.9,557.3,248.5,278.7
3,75,3.015,0.0316,drone,140.0,0.0,506.0,335.6,323.0,167.8
3,75,3.015,0.0316,drone,0.0,68.5,455.4,739.0,227.7,403.7
3,75,3.015,0.0316,drone,0.0,65.6,410.3,783.7,205.2,424.7
3,75,3.015,0.0316,drone,0.0,110.3,506.0,738.6,253.0,424.5
3,75,3.015,0.0316,drone,0.0,155.0,273.4,735.8,136.7,445.4
3,75,3.015,0.0316,drone,5.9,333.8,506.0,872.4,256.0,603.1
4,100,4.02,0.0315,drone,0.0,0.0,365.6,112.1,182.8,56.1
4,100,4.02,0.0315,drone,95.7,0.0,496.9,381.4,296.3,190.7
4,100,4.02,0.0315,drone,277.6,0.0,506.0,291.6,391.8,145.8
4,100,4.02,0.0315,drone,274.5,0.0,506.0,291.6,390.2,145.8
4,100,4.02,0.0315,drone,0.0,0.0,365.6,288.8,182.8,144.4
4,100,4.02,0.0315,drone,0.0,0.0,362.8,288.8,181.4,144.4
4,100,4.02,0.0315,drone,0.0,0.0,506.0,288.8,253.0,144.4
4,100,4.02,0.0315,drone,0.0,0.0,499.7,423.2,249.9,211.6
4,100,4.02,0.0315,drone,5.9,0.0,496.9,425.7,251.4,212.9
4,100,4.02,0.0315,drone,0.0,21.6,410.3,422.9,205.2,222.3
4,100,4.02,0.0315,drone,0.0,21.6,499.7,290.9,249.9,156.3
4,100,4.02,0.0315,drone,98.1,0.0,499.4,333.1,298.8,166.6
4,100,4.02,0.0315,drone,0.0,0.0,497.3,557.3,248.6,278.7
4,100,4.02,0.0315,drone,0.0,24.1,496.9,557.3,248.5,290.7
4,100,4.02,0.0315,drone,140.0,0.0,506.0,335.6,323.0,167.8
4,100,4.02,0.0315,drone,0.0,68.5,455.4,739.0,227.7,403.7
4,100,4.02,0.0315,drone,0.0,65.6,410.3,783.7,205.2,424.7
4,100,4.02,0.0315,drone,0.0,110.3,506.0,738.6,253.0,424.5
4,100,4.02,0.0315,drone,0.0,155.0,273.4,735.8,136.7,445.4
4,100,4.02,0.0315,drone,5.9,333.8,506.0,872.4,256.0,603.1
5,125,5.025,0.0354,drone,0.0,0.0,365.6,112.1,182.8,56.1
5,125,5.025,0.0354,drone,95.7,0.0,496.9,381.4,296.3,190.7
5,125,5.025,0.0354,drone,277.6,0.0,506.0,291.6,391.8,145.8
5,125,5.025,0.0354,drone,274.5,0.0,506.0,291.6,390.2,145.8
5,125,5.025,0.0354,drone,0.0,0.0,365.6,288.8,182.8,144.4
5,125,5.025,0.0354,drone,0.0,0.0,362.8,288.8,181.4,144.4
5,125,5.025,0.0354,drone,0.0,0.0,506.0,288.8,253.0,144.4
