pass,frame,timestamp_s,latency_s,label,x0,y0,x1,y1,cx,cy
0,0,0.0,0.032,,,,,,,
1,25,1.005,0.0312,,,,,,,
2,50,2.01,0.0305,,,,,,,
3,75,3.015,0.0311,,,,,,,
4,100,4.02,0.0318,,,,,,,
5,125,5.025,0.0306,,,,,,,
6,150,6.03,0.0318,,,,,,,
7,175,7.036,0.0315,,,,,,,
8,200,8.041,0.0313,,,,,,,
9,225,9.046,0.0318,,,,,,,
10,250,10.051,0.0312,,,,,,,
11,275,11.056,0.0315,,,,,,,
12,300,12.061,0.0315,,,,,,,
13,325,13.066,0.031,,,,,,,
14,350,14.071,0.0315,,,,,,,
15,375,15.076,0.031,,,,,,,
16,400,16.081,0.0315,,,,,,,
17,425,17.086,0.0314,,,,,,,
18,450,18.091,0.0315,,,,,,,
19,475,19.096,0.0314,,,,,,,
20,500,20.102,0.0312,,,,,,,
21,525,21.107,0.0318,,,,,,,
22,550,22.112,0.0319,,,,,,,
23,575,23.117,0.0315,,,,,,,
24,600,24.122,0.032,,,,,,,
25,625,25.127,0.0312,,,,,,,
26,650,26.132,0.0315,,,,,,,
27,675,27.137,0.031,,,,,,,
28,700,28.142,0.0316,,,,,,,
29,725,29.147,0.0313,,,,,,,
30,750,30.152,0.031,,,,,,,
31,775,31.157,0.0313,,,,,,,
32,800,32.162,0.0315,,,,,,,
33,825,33.168,0.0307,,,,,,,
